Close,Date,High,Low,Market_cap,Name,Open,Ticker,Volume
16068.13870685,2020-11-14T23:59:59.999Z,16317.80834223,15749.19296725,297877068422.63354,Bitcoin,16317.80834223,BTC,27481710135.408524
15955.58743887,2020-11-15T23:59:59.999Z,16123.11045585,15793.53391679,295790551597.8903,Bitcoin,16068.13999417,BTC,23653867582.698807
16716.11132377,2020-11-16T23:59:59.999Z,16816.18144902,15880.7056812,309889423249.1071,Bitcoin,15955.57698439,BTC,31526766675.186485
17645.40576746,2020-11-17T23:59:59.999Z,17782.92055432,16564.54499204,327257094857.4363,Bitcoin,16685.69093058,BTC,39006849169.8069
17804.00563217,2020-11-18T23:59:59.999Z,18393.94914579,17352.906612,330218014062.15594,Bitcoin,17645.19047404,BTC,49064800277.874275
17817.09024754,2020-11-19T23:59:59.999Z,18119.54784964,17382.55398903,330475167134.4854,Bitcoin,17803.86174661,BTC,36985055355.38892
18621.31436938,2020-11-20T23:59:59.999Z,18773.22751179,17765.79576896,345411881099.1716,Bitcoin,17817.08366299,BTC,36992873939.98525
18642.23276593,2020-11-21T23:59:59.999Z,18936.62068806,18444.3589249,345819234184.5931,Bitcoin,18621.31587778,BTC,39650210707.296875
18370.00252365,2020-11-22T23:59:59.999Z,18688.96913465,17671.38482599,340790183317.33075,Bitcoin,18642.232992,BTC,41280434225.93024
18364.12159134,2020-11-23T23:59:59.999Z,18711.42673061,18000.79611004,340698070308.13434,Bitcoin,18370.01733874,BTC,42741112307.89879
19107.46444977,2020-11-24T23:59:59.999Z,19348.27096299,18128.65617407,354504361032.3469,Bitcoin,18365.01468531,BTC,51469565008.67291
18732.1207774,2020-11-25T23:59:59.999Z,19390.96555566,18581.14653195,347558803507.37305,Bitcoin,19104.40961035,BTC,43710357371.4586
17150.62357809,2020-11-26T23:59:59.999Z,18866.28612952,16351.03485441,318231964319.3874,Bitcoin,18729.84058731,BTC,61396835736.93506
17108.40172774,2020-11-27T23:59:59.999Z,17445.02428555,16526.42352825,317464460530.40906,Bitcoin,17153.91312468,BTC,38886494645.12133
17717.4150112,2020-11-28T23:59:59.999Z,17853.93919131,16910.65271094,328782832211.7004,Bitcoin,17112.93423773,BTC,32601040733.642757
18177.48341979,2020-11-29T23:59:59.999Z,18283.62817317,17559.11762249,337336592123.068,Bitcoin,17719.63461354,BTC,31133957704.27213
19625.83502949,2020-11-30T23:59:59.999Z,19749.26369425,18178.32211783,364229729425.8729,Bitcoin,18178.32211783,BTC,47728480399.279915
18802.99829969,2020-12-01T23:59:59.999Z,19845.97548328,18321.92093045,348976597317.84424,Bitcoin,19633.77044727,BTC,49633658712.12445
19201.09115697,2020-12-02T23:59:59.999Z,19308.33066301,18347.71783787,356381007570.9198,Bitcoin,18801.74359314,BTC,37387697138.68447
19445.39847988,2020-12-03T23:59:59.999Z,19566.19188355,18925.78443384,360933936016.877,Bitcoin,19205.92540409,BTC,31930317405.271645
18699.76561337,2020-12-04T23:59:59.999Z,19511.40471415,18697.19291384,347111351136.32855,Bitcoin,19446.96642246,BTC,33872388057.716793
19154.231131,2020-12-05T23:59:59.999Z,19160.44926489,18590.19367526,355563938256.3379,Bitcoin,18698.38527851,BTC,27242455063.892467
19345.12095871,2020-12-06T23:59:59.999Z,19390.49989515,18897.89407205,359123541247.0556,Bitcoin,19154.18059333,BTC,25293775713.52131
19191.63128698,2020-12-07T23:59:59.999Z,19411.82767631,18931.14291942,356293229783.3031,Bitcoin,19343.12879819,BTC,26896357742.243275
18321.14491611,2020-12-08T23:59:59.999Z,19283.47833933,18269.94544375,340148764251.7229,Bitcoin,19191.52946283,BTC,31692288756.379017
18553.91537685,2020-12-09T23:59:59.999Z,18626.29265152,17935.54781966,344486483494.44324,Bitcoin,18320.88478403,BTC,34420373070.859474
18264.99210672,2020-12-10T23:59:59.999Z,18553.29972814,17957.06521319,339136939585.8366,Bitcoin,18553.29972814,BTC,25547132265.471
18058.90334725,2020-12-11T23:59:59.999Z,18268.4528447,17619.53238938,335326168918.5213,Bitcoin,18263.92925463,BTC,27919640985.341442
18803.65687045,2020-12-12T23:59:59.999Z,18919.55122775,18046.04072366,349170613898.91974,Bitcoin,18051.31998973,BTC,21752580801.78931
19142.3825335,2020-12-13T23:59:59.999Z,19381.53577302,18734.33288842,355479173805.69794,Bitcoin,18806.76647897,BTC,25450468636.538254
16039.94330911,2020-11-14T23:59:59.999Z,16246.01792609,15743.77801072,1993128659.717069,Wrapped Bitcoin,16237.53389567,WBTC,37320906.22124326
15887.31707739,2020-11-15T23:59:59.999Z,16048.04053459,15687.92768764,1974163273.692184,Wrapped Bitcoin,16040.61285149,WBTC,30272059.21750955
16665.1959337,2020-11-16T23:59:59.999Z,16769.92476689,15791.44848875,2070822757.60828,Wrapped Bitcoin,15887.67944611,WBTC,45133837.31321604
17654.38988443,2020-11-17T23:59:59.999Z,17737.90584453,16552.52673515,2193740325.0348396,Wrapped Bitcoin,16738.51323794,WBTC,60513820.63717102
17793.18068606,2020-11-18T23:59:59.999Z,18287.17926915,17326.49790956,2210986515.941873,Wrapped Bitcoin,17649.50925409,WBTC,52851021.27934907
17788.11661114,2020-11-19T23:59:59.999Z,18117.57048447,17369.56126908,2210357252.316745,Wrapped Bitcoin,17793.18055121,WBTC,37703332.14920273
18623.14429884,2020-11-20T23:59:59.999Z,18745.95592338,17762.51493302,2314118068.9193287,Wrapped Bitcoin,17788.11812519,WBTC,48202990.90023566
18601.52605375,2020-11-21T23:59:59.999Z,18933.08554243,18450.06483699,2311431778.6363673,Wrapped Bitcoin,18623.14446241,WBTC,56474890.43591715
18398.17223527,2020-11-22T23:59:59.999Z,18643.26110917,17679.1377257,2286162965.905611,Wrapped Bitcoin,18601.52607325,WBTC,54634313.63907537
18358.94405618,2020-11-23T23:59:59.999Z,18710.28999333,18077.95527059,2285715718.759457,Wrapped Bitcoin,18398.17384792,WBTC,63596730.94968092
19146.87129614,2020-11-24T23:59:59.999Z,19390.80755899,18132.55809123,2377686827.989397,Wrapped Bitcoin,18353.28891555,WBTC,73582081.66848595
18690.25031531,2020-11-25T23:59:59.999Z,19402.6245017,18510.58903385,2320980154.942479,Wrapped Bitcoin,19146.71857353,WBTC,46247227.17307094
17123.87418362,2020-11-26T23:59:59.999Z,18834.1142608,16361.61416157,2103348252.4117668,Wrapped Bitcoin,18690.25938299,WBTC,105088098.2671698
17060.38877575,2020-11-27T23:59:59.999Z,17414.08301041,16533.40965916,2095550255.284758,Wrapped Bitcoin,17132.161441,WBTC,31860793.91727678
17734.59088211,2020-11-28T23:59:59.999Z,17829.33511675,16884.70821319,2178363397.1578593,Wrapped Bitcoin,17065.00047423,WBTC,31889618.57968046
18167.77554048,2020-11-29T23:59:59.999Z,18318.22272656,17613.0522996,2231572045.1762776,Wrapped Bitcoin,17735.6513264,WBTC,30394908.22209184
19619.04234746,2020-11-30T23:59:59.999Z,19754.25747541,18177.11219117,2390214221.9135365,Wrapped Bitcoin,18177.11219117,WBTC,59384802.76903661
18828.37847085,2020-12-01T23:59:59.999Z,19897.23691713,18270.35148586,2257399043.9070415,Wrapped Bitcoin,19640.56298998,WBTC,67345144.58528891
19214.0018119,2020-12-02T23:59:59.999Z,19310.16039762,18391.21861148,2303632752.387297,Wrapped Bitcoin,18810.3121598,WBTC,37902963.98655473
19460.82338178,2020-12-03T23:59:59.999Z,19543.36323306,18921.15284693,2333225039.1970506,Wrapped Bitcoin,19220.9186715,WBTC,35210479.9654084
18665.34367697,2020-12-04T23:59:59.999Z,19517.01576792,18642.21172518,2248114074.4534225,Wrapped Bitcoin,19463.29185415,WBTC,51030229.4689008
19150.38190107,2020-12-05T23:59:59.999Z,19173.82171125,18541.43450424,2306533639.456885,Wrapped Bitcoin,18661.82438622,WBTC,39530321.063163
19383.04444957,2020-12-06T23:59:59.999Z,19398.17319643,18898.44087727,2334556265.7177196,Wrapped Bitcoin,19146.0942248,WBTC,46017662.92813104
19176.62745595,2020-12-07T23:59:59.999Z,19421.29696555,18913.56442299,2290706061.238559,Wrapped Bitcoin,19376.76823075,WBTC,36065739.38717928
18327.36819814,2020-12-08T23:59:59.999Z,19276.25136724,18258.59552794,2175532279.429404,Wrapped Bitcoin,19182.99663847,WBTC,47260932.9750551
18531.14730714,2020-12-09T23:59:59.999Z,18615.58681876,17696.61791502,2181894715.1311274,Wrapped Bitcoin,18322.69150119,WBTC,47079839.20873971
18250.66104503,2020-12-10T23:59:59.999Z,18546.03167277,17955.32867096,2136456508.9635708,Wrapped Bitcoin,18538.72686162,WBTC,50541962.60718637
18054.93479045,2020-12-11T23:59:59.999Z,18276.79899833,17624.47204238,2095471437.8882933,Wrapped Bitcoin,18248.1317073,WBTC,33151714.25593682
18781.90635904,2020-12-12T23:59:59.999Z,18898.64706087,18031.75897043,2160131277.2591987,Wrapped Bitcoin,18031.75897043,WBTC,30423720.97730278
19163.82278105,2020-12-13T23:59:59.999Z,19394.10635582,18734.58166306,2204055977.591402,Wrapped Bitcoin,18788.04725885,WBTC,33774645.53347886
2.53961862,2020-11-14T23:59:59.999Z,2.60834066,2.50513852,2381570898.25168,EOS,2.59747944,EOS,1735421982.7944224
2.49786955,2020-11-15T23:59:59.999Z,2.54566034,2.47196988,2342491068.5916243,EOS,2.53961861,EOS,1497817036.0551713
2.57571957,2020-11-16T23:59:59.999Z,2.60222581,2.48904806,2415570623.2685847,EOS,2.49786954,EOS,1719068544.4908955
2.71210373,2020-11-17T23:59:59.999Z,2.74478248,2.6143007,2543550954.59164,EOS,2.61780197,EOS,2577705364.805132
2.64180046,2020-11-18T23:59:59.999Z,2.72928342,2.54683588,2477690960.7553897,EOS,2.71210299,EOS,2865530497.666757
2.63621518,2020-11-19T23:59:59.999Z,2.68958181,2.56507301,2472525150.132592,EOS,2.64179745,EOS,2201334826.7971573
2.77554809,2020-11-20T23:59:59.999Z,2.81984721,2.63621439,2603285515.3323927,EOS,2.63621439,EOS,2677293615.733027
3.21610062,2020-11-21T23:59:59.999Z,3.23463133,2.71878201,3016585577.981701,EOS,2.77554809,EOS,5783285268.351578
3.05149739,2020-11-22T23:59:59.999Z,3.28335407,2.93136204,2862279200.7524743,EOS,3.21610066,EOS,5908822503.732669
3.382453,2020-11-23T23:59:59.999Z,3.38438929,2.9948021,3172807572.7036266,EOS,3.05149767,EOS,5261090646.432376
3.58598476,2020-11-24T23:59:59.999Z,3.71732462,3.3580009,3363824890.579252,EOS,3.3824681,EOS,5444227824.08129
3.43941737,2020-11-25T23:59:59.999Z,3.83999612,3.36304517,3226433819.1238422,EOS,3.58650402,EOS,5072915682.432293
2.94096747,2020-11-26T23:59:59.999Z,3.51956799,2.72919875,2758932482.6209254,EOS,3.43776066,EOS,6645129606.611188
2.87136607,2020-11-27T23:59:59.999Z,3.03256814,2.77681467,2693719643.890276,EOS,2.94251416,EOS,4033264773.5700164
2.99910621,2020-11-28T23:59:59.999Z,3.06236543,2.8332769,2813640806.043883,EOS,2.87162458,EOS,3470107603.581635
3.03292742,2020-11-29T23:59:59.999Z,3.06648358,2.912172,2845455531.955998,EOS,2.9992884,EOS,3262198687.4248056
3.25918455,2020-11-30T23:59:59.999Z,3.27422156,3.00258458,3057816919.4503603,EOS,3.03297729,EOS,4432883344.810142
2.99536264,2020-12-01T23:59:59.999Z,3.33575974,2.96713522,2810380382.685409,EOS,3.25937088,EOS,4774952881.2414255
3.05911332,2020-12-02T23:59:59.999Z,3.08132911,2.97716765,2870279832.1805825,EOS,2.99596434,EOS,3242253922.2809796
3.08292059,2020-12-03T23:59:59.999Z,3.13139601,3.01346553,2892703959.7628098,EOS,3.05925885,EOS,2584440174.323387
2.856019,2020-12-04T23:59:59.999Z,3.14505822,2.81347615,2679882322.418949,EOS,3.08299584,EOS,2846067693.54486
3.01112904,2020-12-05T23:59:59.999Z,3.01112904,2.83660677,2825509288.536311,EOS,2.85597198,EOS,2326441652.7778263
2.99616017,2020-12-06T23:59:59.999Z,3.03226416,2.91413748,2811548431.182681,EOS,3.01102928,EOS,2074582343.212129
2.95173985,2020-12-07T23:59:59.999Z,3.00199102,2.91139762,2769947877.777903,EOS,2.99617534,EOS,2064769641.6022592
2.79838306,2020-12-08T23:59:59.999Z,2.95976221,2.76272841,2626114450.1752086,EOS,2.95186295,EOS,2365114721.1906223
2.80964905,2020-12-09T23:59:59.999Z,2.83325308,2.67507812,2636765760.424617,EOS,2.79820723,EOS,2579251503.078265
2.74267714,2020-12-10T23:59:59.999Z,2.81294289,2.70811347,2573991628.143233,EOS,2.80959904,EOS,1940078230.0564926
2.69438172,2020-12-11T23:59:59.999Z,2.74282673,2.65319574,2528740763.016208,EOS,2.74276196,EOS,1803556566.7653975
2.76818051,2020-12-12T23:59:59.999Z,2.78539705,2.69282729,2598080255.09539,EOS,2.69401216,EOS,1399303915.7918727
2.8480791,2020-12-13T23:59:59.999Z,2.89839962,2.75451898,2673149023.8964963,EOS,2.76822893,EOS,1518779145.8530574
116.57744471,2020-11-14T23:59:59.999Z,117.21890414,113.32968936,2070171638.3352861,Monero,114.11271106,XMR,788167676.0955019
114.62094422,2020-11-15T23:59:59.999Z,117.74675752,112.94909466,2035536334.0089488,Monero,116.57744452,XMR,716438616.1432674
117.98246143,2020-11-16T23:59:59.999Z,119.64249333,113.54506233,2095339296.5122545,Monero,114.62094468,XMR,850372671.7156388
125.43039276,2020-11-17T23:59:59.999Z,125.50617545,117.82343932,2227736547.526516,Monero,119.19891637,XMR,727842488.1869099
123.64198249,2020-11-18T23:59:59.999Z,126.27803185,120.02093735,2196081381.423632,Monero,125.43032298,XMR,1075626342.244296
118.38548037,2020-11-19T23:59:59.999Z,123.64185968,117.14733012,2102747262.960415,Monero,123.64185968,XMR,967438281.8667916
120.94480372,2020-11-20T23:59:59.999Z,123.0641296,118.16938634,2148312674.0799837,Monero,118.38549553,XMR,982683690.2899345
128.06749049,2020-11-21T23:59:59.999Z,129.45540464,119.79630835,2274996617.7964773,Monero,120.94480537,XMR,1190447303.7016451
123.33387377,2020-11-22T23:59:59.999Z,129.50846793,119.8299553,2190908439.175135,Monero,128.06749053,XMR,1419490754.08371
129.88900657,2020-11-23T23:59:59.999Z,131.01986505,122.46800035,2307354110.8113775,Monero,123.33388037,XMR,1179302983.9899075
135.20034233,2020-11-24T23:59:59.999Z,142.08207233,127.53095382,2401704916.232293,Monero,129.90094305,XMR,1676850361.1136115
129.14587869,2020-11-25T23:59:59.999Z,138.44256818,125.91469752,2294350361.0501537,Monero,135.18845383,XMR,1543326329.0467298
