Close,Date,High,Low,Market_cap,Name,Open,Ticker,Volume
1.2110999822616577,2015-02-25T23:59:59.999Z,1.2154899835586548,1.2095799446105957,304712.76,Tether,1.2101600170135498,USDT,5.981929779052734
1.205739974975586,2015-02-26T23:59:59.999Z,1.2123199701309204,1.1947100162506104,303364.184,Tether,1.21042001247406,USDT,5.955460071563721
0.6065019965171814,2015-03-02T23:59:59.999Z,0.6078900098800659,0.5683140158653259,152595.9032,Tether,0.5712490081787109,USDT,3.0325000286102295
0.6062290072441101,2015-03-03T23:59:59.999Z,0.6062290072441101,0.604416012763977,152527.2164,Tether,0.6051290035247803,USDT,3.031130075454712
1,2015-03-06T23:59:59.999Z,1,1,251600,Tether,1,USDT,92.64720153808594
1,2015-03-07T23:59:59.999Z,1,1,251600,Tether,1,USDT,58196.80078125
1,2015-03-08T23:59:59.999Z,1,1,251600,Tether,1,USDT,31.139400482177734
1,2015-03-09T23:59:59.999Z,1,1,251600,Tether,1,USDT,142.9969940185547
1,2015-03-10T23:59:59.999Z,1,1,251600,Tether,1,USDT,49996.69921875
1,2015-03-11T23:59:59.999Z,1,1,251600,Tether,1,USDT,49.310699462890625
1,2015-03-12T23:59:59.999Z,1,1,251600,Tether,1,USDT,80418.296875
1,2015-03-13T23:59:59.999Z,1,1,251600,Tether,1,USDT,75.27570343017578
1,2015-03-14T23:59:59.999Z,1,1,251600,Tether,1,USDT,17705.099609375
1,2015-03-15T23:59:59.999Z,1,1,251600,Tether,1,USDT,15124.5
1,2015-03-16T23:59:59.999Z,1,1,251600,Tether,1,USDT,49631.5
1,2015-03-17T23:59:59.999Z,1,1,251600,Tether,1,USDT,4284.02001953125
1,2015-03-18T23:59:59.999Z,1,1,251600,Tether,1,USDT,202.34300231933594
1,2015-03-19T23:59:59.999Z,1,1,251600,Tether,1,USDT,713.947021484375
1,2015-03-20T23:59:59.999Z,1,1,251600,Tether,1,USDT,132.7270050048828
1,2015-03-21T23:59:59.999Z,1,1,251600,Tether,1,USDT,206.26800537109375
1,2015-03-22T23:59:59.999Z,1,1,251600,Tether,1,USDT,66.68250274658203
1,2015-03-23T23:59:59.999Z,1,1,251600,Tether,1,USDT,65.83820343017578
1,2015-03-24T23:59:59.999Z,1,1,251600,Tether,1,USDT,1179.43994140625
1,2015-03-25T23:59:59.999Z,1,1,251600,Tether,1,USDT,92.35220336914062
1,2015-03-26T23:59:59.999Z,1,1,251600,Tether,1,USDT,2.3080999851226807
1,2015-03-27T23:59:59.999Z,1,1,251600,Tether,1,USDT,4.7949299812316895
1,2015-03-28T23:59:59.999Z,1,1,251600,Tether,1,USDT,17.04400062561035
1,2015-03-29T23:59:59.999Z,1,1,251600,Tether,1,USDT,20.637699127197266
